City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Tevaitoa,PF,77.52,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
410,Helong,CN,71.11,overcast clouds,42.5397,128.9972,Helong Hotel
412,Zhanaozen,KZ,87.67,clear sky,43.3,52.8,K.korabay 28A
413,Hukeri,IN,76.6,overcast clouds,16.2333,74.6,Hotel Druvaraj Ghargutti
414,Hobbs,US,89.06,clear sky,32.7026,-103.136,Best Western Executive Inn
415,Pueblo,US,74.16,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
416,Bilma,NE,85.59,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
417,Miramar,US,85.01,clear sky,25.9873,-80.2323,Stadium Hotel
419,Lorengau,PG,83.89,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
423,Arrecife,ES,73.38,clear sky,28.963,-13.5477,Hotel Lancelot
424,Fereydun Kenar,IR,80.24,overcast clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
425,Irbeyskoye,RU,74.25,overcast clouds,55.6428,95.4522,"Gostinitsa ""Agul"""
429,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
430,Ishigaki,JP,85.68,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
432,Kirkwood,US,78.94,clear sky,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
434,Dumai,ID,88.92,broken clouds,1.6833,101.45,Grand Zuri Dumai
436,Rincon,US,77.86,clear sky,32.296,-81.2354,Days Inn Rincon
438,Cairns,AU,86.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
441,Mae Sai,TH,82.72,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
444,Yabrud,SY,71.35,clear sky,33.9674,36.6574,صالة افراح الاندلس
454,Haimen,CN,89.11,few clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
457,Bridgetown,BB,81.09,few clouds,13.1,-59.6167,Hilton Barbados Resort
459,Santona,ES,71.91,few clouds,43.4439,-3.4576,Playamar
460,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
461,Bose,IT,75.29,few clouds,45.4612,8.0137,Locanda Borgo Antico
466,Metro,ID,87.17,scattered clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
467,Kouqian,CN,76.06,heavy intensity rain,43.6391,126.4578,Guotai Bathing Hotel
468,Watertown,US,81.32,clear sky,42.3709,-71.1828,16 Washburn Street Watertown MA
471,Champerico,GT,80.76,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
473,Mitsamiouli,KM,75.76,clear sky,-11.3847,43.2844,Foyer ADM
474,Touros,BR,72.37,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
476,Chifeng,CN,81.82,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
477,Kapoeta,SS,73.78,broken clouds,4.7717,33.5903,Eastgate Hotel
479,Horta,PT,71.33,few clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
481,Meadow Lake,US,81.68,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
482,Guanica,PR,82.06,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
483,Namie,JP,75.97,overcast clouds,37.4833,141.0,いこいの村なみえ
484,Bacolod,PH,85.26,heavy intensity rain,10.6667,122.95,Planta Hotel & Residences
485,Gewane,ET,75.06,overcast clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
487,Atar,MR,79.3,few clouds,20.5169,-13.0499,Oumou Elghoura
488,Jieshi,CN,87.04,few clouds,22.8134,115.8257,Yuehai Hotel
493,Safaga,EG,88.03,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
494,Milos,GR,73.69,clear sky,36.75,24.4333,Ξενοδοχείο Αγνάντι
497,Tortoli,IT,80.71,clear sky,39.9256,9.6572,Hotel La Bitta
499,Makakilo City,US,80.92,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
502,Nizhniy Kuranakh,RU,77.36,scattered clouds,58.8353,125.4869,Park Pobedy
503,La Palma,US,80.91,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
504,Itoman,JP,89.62,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
507,Picota,PE,73.38,broken clouds,-6.9197,-76.3304,Hospedaje Vanessa
508,Burlington,US,81.84,clear sky,39.8835,-74.6413,Delanco Camp
510,Nabire,ID,86.34,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
513,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
515,Sungaipenuh,ID,80.87,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
516,Leshukonskoye,RU,71.76,scattered clouds,64.8989,45.7622,Pryalitsa Hostel
520,Jiuquan,CN,72.84,broken clouds,39.7432,98.5174,Jiuquan Hotel
523,Kununurra,AU,89.58,few clouds,-15.7667,128.7333,Hotel Kununurra
525,Paceco,IT,81.57,clear sky,37.9787,12.5566,Officina Gastronomica Resort
526,Mastic Beach,US,79.99,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
527,La Asuncion,VE,78.19,few clouds,11.0333,-63.8628,Colinas de Matasiete
528,Dhoraji,IN,84.36,overcast clouds,21.7333,70.45,Hotel Sahjee Plaza & Guest House
531,Barcelos,PT,70.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
532,Isangel,VU,78.69,overcast clouds,-19.55,169.2667,Tanna Lodge
537,Tomatlan,MX,78.96,scattered clouds,19.9333,-105.25,El Salvial
538,Asilah,MA,76.96,clear sky,35.465,-6.0348,Hotel Zelis
539,Emporia,US,77.2,clear sky,38.4039,-96.1817,Days Inn by Wyndham Emporia
540,Port Keats,AU,87.08,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
541,Pasighat,IN,82.47,light rain,28.0667,95.3333,Siang Guest House
543,Sao Jose Da Coroa Grande,BR,74.12,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
545,Koutiala,ML,73.22,broken clouds,12.3917,-5.4642,Hotel La Chaumiere
546,Westport,US,81.28,clear sky,41.1415,-73.3579,The Westport Inn
548,Rapid Valley,US,76.44,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
554,Finschhafen,PG,83.8,broken clouds,-6.6024,147.8681,Cossam Guest House
558,Nieuw Amsterdam,SR,78.03,few clouds,5.8833,-55.0833,Hotel Stardust
559,Baraboo,US,71.49,clear sky,43.4711,-89.7443,Thunderbird Motor Inn
560,Tucupita,VE,72.66,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
561,San Pedro De Macoris,DO,77.4,clear sky,18.4616,-69.2972,Apartahotel Guaraguao
562,Mahajanga,MG,71.19,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
563,Broome,US,78.85,clear sky,42.2506,-75.833,Chenango Valley State Park
565,Brokopondo,SR,75.33,broken clouds,4.75,-55.1667,Matu Island
566,Qorveh,IR,82.87,clear sky,35.1664,47.8045,بانک مهر ایران
568,Pochutla,MX,79.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
572,Padang,ID,86.05,scattered clouds,-0.9492,100.3543,Mercure Padang
573,Sur,OM,88.21,broken clouds,22.5667,59.5289,Sur Plaza Hotel
575,Barguzin,RU,73.08,overcast clouds,53.6167,109.6167,"Gostevoy Dom S.barguzin ""Vizit"""
577,Fare,PF,76.75,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
580,Vanimo,PG,85.69,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
582,Nantucket,US,75.99,mist,41.2835,-70.0995,Jared Coffin House
588,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
589,Balikpapan,ID,86.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
591,Atambua,ID,81.59,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
592,Marsh Harbour,BS,82.2,clear sky,26.5412,-77.0636,Abaco Beach Resort
595,Douentza,ML,80.28,light rain,14.9951,-2.9517,Ogomono Doumbo
598,Saint-Joseph,RE,70.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
599,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
603,Celestun,MX,81.28,broken clouds,20.8667,-90.4,Posada Lilia
604,Batticaloa,LK,85.87,overcast clouds,7.7102,81.6924,Grand Star Guest House
605,Estelle,US,84.2,clear sky,29.8458,-90.1067,Ohio
607,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Novotel Dakar
609,Genhe,CN,89.55,clear sky,50.7833,121.5167,Companionship Hotel
611,Lodwar,KE,75.47,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
613,Tabuk,PH,88.45,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
618,Karratha,AU,79.88,clear sky,-20.7377,116.8463,ibis Styles Karratha
619,Quang Ngai,VN,85.17,overcast clouds,15.1167,108.8,Central Hotel
620,Lamu,KE,73.62,light rain,-2.2717,40.902,Lamu House
621,Tiarei,PF,75.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
622,Muroto,JP,82.44,overcast clouds,33.2833,134.15,Oota Ryokan
623,San Pedro,PH,85.23,moderate rain,14.35,121.0167,Palines Apartment and Guesthouse
626,Biak,ID,81.73,scattered clouds,-0.9131,122.8766,Penginapan Kim
630,Hassleholm,SE,72.25,few clouds,56.1591,13.7664,Göingehof
632,Qianjiang,CN,88.21,overcast clouds,30.4151,112.8859,Shell Qianjiang City Qianjiang bus station Hotel
633,Intipuca,SV,82.35,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
636,Pemangkat,ID,85.64,broken clouds,1.1667,108.9667,Ramah Kost KITA
638,Filadelfia,US,82.65,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
641,Salur,IN,87.82,overcast clouds,18.5333,83.2167,SATYAM NAIDU FARM HOUSE ( సత్యం నాయుడు వ్యవసాయ క్షేత్రం )
642,Wajir,KE,71.69,few clouds,1.7471,40.0573,Mahatallah Hotel
643,Kalmunai,LK,87.04,overcast clouds,7.4167,81.8167,VS Villa
645,Samana,DO,78.78,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
647,Middletown,US,78.21,clear sky,39.5151,-84.3983,Center of Hope for Women and Children
648,Kohlu,PK,87.06,clear sky,29.8962,69.252,B &R Rest House
649,Peleduy,RU,70.41,overcast clouds,59.6289,112.7406,Гостиница «Уют»
652,Takoradi,GH,72.19,few clouds,4.8845,-1.7554,Raybow International Hotel
654,Sola,VU,81.18,few clouds,-13.8833,167.55,Leumerus Bungalows
655,Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
656,Sainte-Rose,GP,77.18,broken clouds,16.3324,-61.6979,Habitation du Comté - Hotel à Sainte-Rose
657,Axim,GH,72.05,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
660,Pascagoula,US,86.05,clear sky,30.3658,-88.5561,Regency Inn
661,Mabaruma,GY,72.01,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
664,Syracuse,IT,74.79,clear sky,37.0881,15.2792,Hotel Posta
665,Chiman,PK,77.56,moderate rain,32.5463,73.8138,Master Muhammad zafar iqbal
666,Vila Franca Do Campo,PT,74.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
668,Kantunilkin,MX,74.91,few clouds,21.0917,-87.45,Posada Paraiso
670,Saint-Paul,RE,71.74,clear sky,-21.0096,55.2707,Boucan Canot
671,Port Blair,IN,84.24,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
675,Quisqueya,DO,75.0,clear sky,18.5554,-69.4081,Pensión doña rosa
677,Xuddur,SO,71.91,few clouds,4.1213,43.8894,Banjanay Hotel
