City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
424,Fereydun Kenar,IR,36.6864,52.5225,80.24,81,100,7.14,overcast clouds,2022-07-21 05:10:17
425,Irbeyskoye,RU,55.6428,95.4522,74.25,45,93,3.96,overcast clouds,2022-07-21 05:10:18
426,Clyde River,CA,70.4692,-68.5914,35.83,100,100,13.8,light rain,2022-07-21 05:07:04
427,Bhadasar,IN,28.2833,74.3167,91.15,60,99,14.0,overcast clouds,2022-07-21 05:07:13
428,Northam,GB,51.0333,-4.2167,58.6,82,4,11.77,clear sky,2022-07-21 05:10:19
429,Cabedelo,BR,-6.9811,-34.8339,74.07,88,97,10.33,overcast clouds,2022-07-21 05:10:19
430,Ishigaki,JP,24.3448,124.1572,85.68,76,37,13.51,scattered clouds,2022-07-21 05:10:19
431,Tres Rios,BR,-22.1167,-43.2092,62.02,93,77,1.36,broken clouds,2022-07-21 05:10:20
432,Kirkwood,US,38.5834,-90.4068,78.94,74,0,3.44,clear sky,2022-07-21 05:10:20
433,Leh,IN,34.1667,77.5833,67.12,9,99,5.21,overcast clouds,2022-07-21 05:10:20
434,Dumai,ID,1.6833,101.45,88.92,61,58,3.15,broken clouds,2022-07-21 05:10:21
435,Gobabis,NA,-22.45,18.9667,46.98,51,0,8.19,clear sky,2022-07-21 05:10:21
436,Rincon,US,32.296,-81.2354,77.86,88,0,6.91,clear sky,2022-07-21 05:10:22
437,Amapa,BR,1.0,-52.0,69.91,99,27,0.89,scattered clouds,2022-07-21 05:10:22
438,Cairns,AU,-16.9167,145.7667,86.07,70,40,12.66,scattered clouds,2022-07-21 05:10:23
439,Maldonado,UY,-34.6667,-54.9167,60.19,97,42,7.4,scattered clouds,2022-07-21 05:07:17
440,Alice Springs,AU,-23.7,133.8833,63.95,25,5,9.22,clear sky,2022-07-21 05:10:23
441,Mae Sai,TH,20.4335,99.8762,82.72,86,100,1.88,overcast clouds,2022-07-21 05:10:23
442,Nouadhibou,MR,20.931,-17.0347,67.48,95,1,11.7,clear sky,2022-07-21 05:10:24
443,Panguna,PG,-6.3164,155.4848,79.41,64,98,2.55,overcast clouds,2022-07-21 05:10:24
444,Yabrud,SY,33.9674,36.6574,71.35,27,0,0.4,clear sky,2022-07-21 05:10:25
445,Sana,YE,15.3547,44.2067,67.73,47,96,2.82,overcast clouds,2022-07-21 05:10:25
446,Mushie,CD,-3.0167,16.9,72.16,82,8,4.09,clear sky,2022-07-21 05:10:25
447,Waipawa,NZ,-41.4122,175.5153,43.48,93,100,26.82,moderate rain,2022-07-21 05:10:26
448,Abu Dhabi,AE,24.4667,54.3667,100.42,54,0,5.75,clear sky,2022-07-21 05:06:44
449,Burns Lake,CA,54.2331,-125.7533,56.7,66,32,3.62,scattered clouds,2022-07-21 05:10:26
450,Sioux Lookout,CA,50.1001,-91.917,64.04,82,10,9.4,clear sky,2022-07-21 05:10:27
451,Zhangye,CN,38.9342,100.4517,61.54,53,100,2.24,overcast clouds,2022-07-21 05:10:27
452,Fairbanks,US,64.8378,-147.7164,66.22,58,75,3.44,broken clouds,2022-07-21 05:06:29
453,Yulara,AU,-25.2406,130.9889,68.18,23,6,9.04,clear sky,2022-07-21 05:10:28
454,Haimen,CN,23.1935,116.6142,89.11,66,19,7.78,few clouds,2022-07-21 05:10:28
455,Camargo,MX,27.6667,-105.1667,90.82,16,49,2.24,scattered clouds,2022-07-21 05:10:28
456,Izhma,RU,65.0083,53.9113,71.76,47,86,6.29,overcast clouds,2022-07-21 05:10:29
457,Bridgetown,BB,13.1,-59.6167,81.09,89,20,18.41,few clouds,2022-07-21 05:07:32
458,Poli,TZ,-3.3333,36.8,53.4,74,20,3.87,few clouds,2022-07-21 05:10:29
459,Santona,ES,43.4439,-3.4576,71.91,89,11,4.56,few clouds,2022-07-21 05:10:30
460,Iquitos,PE,-3.7481,-73.2472,77.04,94,75,2.3,broken clouds,2022-07-21 05:11:30
461,Bose,IT,45.4612,8.0137,75.29,71,21,4.74,few clouds,2022-07-21 05:11:31
462,San Quintin,MX,30.4833,-115.95,69.67,79,3,8.7,clear sky,2022-07-21 05:11:31
463,Uncia,BO,-18.467,-66.5685,43.43,22,41,2.64,scattered clouds,2022-07-21 05:11:32
464,Guerrero Negro,MX,27.9769,-114.0611,69.75,77,32,13.96,scattered clouds,2022-07-21 05:08:32
465,Aksarka,RU,66.5606,67.7975,59.54,47,37,17.94,scattered clouds,2022-07-21 05:11:32
466,Metro,ID,-5.1131,105.3067,87.17,63,32,6.29,scattered clouds,2022-07-21 05:11:33
467,Kouqian,CN,43.6391,126.4578,76.06,82,100,3.58,heavy intensity rain,2022-07-21 05:11:33
468,Watertown,US,42.3709,-71.1828,81.32,75,0,6.91,clear sky,2022-07-21 05:11:33
469,Sorada,IN,19.75,84.4333,90.36,59,100,2.17,light rain,2022-07-21 05:11:34
470,Qaqortoq,GL,60.7167,-46.0333,46.26,96,71,4.03,broken clouds,2022-07-21 05:11:34
471,Champerico,GT,14.3,-91.9167,80.76,82,100,6.91,overcast clouds,2022-07-21 05:11:34
472,Menongue,AO,-14.6585,17.691,45.09,57,7,4.59,clear sky,2022-07-21 05:11:35
473,Mitsamiouli,KM,-11.3847,43.2844,75.76,62,0,10.6,clear sky,2022-07-21 05:11:35
474,Touros,BR,-5.1989,-35.4608,72.37,93,96,8.23,overcast clouds,2022-07-21 05:11:36
475,Plouzane,FR,48.3833,-4.6167,60.85,83,100,5.75,overcast clouds,2022-07-21 05:11:36
476,Chifeng,CN,42.2683,118.9636,81.82,49,100,11.74,overcast clouds,2022-07-21 05:11:36
477,Kapoeta,SS,4.7717,33.5903,73.78,65,62,13.24,broken clouds,2022-07-21 05:11:37
478,Catamarca,AR,-28.4696,-65.7852,65.59,51,99,0.67,overcast clouds,2022-07-21 05:10:48
479,Horta,PT,38.5333,-28.6333,71.33,87,14,3.78,few clouds,2022-07-21 05:11:37
480,Batagay-Alyta,RU,67.8006,130.4114,58.08,58,98,5.82,overcast clouds,2022-07-21 05:11:02
481,Meadow Lake,US,34.8014,-106.5436,81.68,44,81,10.54,broken clouds,2022-07-21 05:11:38
482,Guanica,PR,17.9716,-66.908,82.06,85,21,5.01,few clouds,2022-07-21 05:11:38
483,Namie,JP,37.4833,141.0,75.97,87,100,3.56,overcast clouds,2022-07-21 05:11:38
484,Bacolod,PH,10.6667,122.95,85.26,75,100,4.03,heavy intensity rain,2022-07-21 05:11:39
485,Gewane,ET,10.1664,40.6453,75.06,68,100,14.94,overcast clouds,2022-07-21 05:11:39
486,Ngorongoro,TZ,-3.2397,35.4875,46.69,79,88,8.19,overcast clouds,2022-07-21 05:11:40
487,Atar,MR,20.5169,-13.0499,79.3,63,24,7.47,few clouds,2022-07-21 05:11:40
488,Jieshi,CN,22.8134,115.8257,87.04,70,15,6.33,few clouds,2022-07-21 05:11:40
489,Muzhi,RU,65.3667,64.6667,68.23,42,47,7.87,scattered clouds,2022-07-21 05:11:41
490,Tilichiki,RU,60.4667,166.1,64.85,40,8,9.42,clear sky,2022-07-21 05:11:41
491,Klichka,RU,50.4457,117.996,80.87,51,62,6.17,broken clouds,2022-07-21 05:11:41
492,Lavrentiya,RU,65.5833,-171.0,39.87,74,100,20.8,overcast clouds,2022-07-21 05:11:42
493,Safaga,EG,26.7292,33.9365,88.03,33,0,19.86,clear sky,2022-07-21 05:11:42
494,Milos,GR,36.75,24.4333,73.69,68,0,26.37,clear sky,2022-07-21 05:11:42
495,Narsaq,GL,60.9167,-46.05,46.62,94,68,3.18,broken clouds,2022-07-21 05:11:43
496,Plettenberg Bay,ZA,-34.0527,23.3716,51.48,84,0,5.68,clear sky,2022-07-21 05:11:43
497,Tortoli,IT,39.9256,9.6572,80.71,46,0,4.07,clear sky,2022-07-21 05:11:44
498,Longyearbyen,SJ,78.2186,15.6401,51.64,82,75,9.22,broken clouds,2022-07-21 05:11:44
499,Makakilo City,US,21.3469,-158.0858,80.92,60,20,14.97,few clouds,2022-07-21 05:07:52
500,Desaguadero,PE,-16.5656,-69.0417,39.63,47,24,2.06,few clouds,2022-07-21 05:11:44
501,Mutoko,ZW,-17.397,32.2268,55.83,78,82,7.49,broken clouds,2022-07-21 05:11:45
502,Nizhniy Kuranakh,RU,58.8353,125.4869,77.36,53,41,6.31,scattered clouds,2022-07-21 05:11:45
503,La Palma,US,33.8464,-118.0467,80.91,72,0,4.61,clear sky,2022-07-21 05:11:10
504,Itoman,JP,26.1247,127.6694,89.62,79,20,10.36,few clouds,2022-07-21 05:11:46
505,Ahipara,NZ,-35.1667,173.1667,56.52,66,12,17.34,few clouds,2022-07-21 05:11:46
506,Haines Junction,CA,60.7522,-137.5108,49.77,68,67,5.41,broken clouds,2022-07-21 05:11:46
507,Picota,PE,-6.9197,-76.3304,73.38,80,82,0.45,broken clouds,2022-07-21 05:12:47
508,Burlington,US,39.8835,-74.6413,81.84,76,0,3.44,clear sky,2022-07-21 05:09:01
509,Pemba,MZ,-12.974,40.5178,65.1,94,20,5.75,few clouds,2022-07-21 05:12:47
510,Nabire,ID,-3.3667,135.4833,86.34,63,88,4.92,overcast clouds,2022-07-21 05:12:48
511,Saint John,CA,45.2727,-66.0677,61.39,80,2,1.19,clear sky,2022-07-21 05:07:52
512,Tsabong,BW,-26.0217,22.401,53.15,64,4,9.33,clear sky,2022-07-21 05:12:48
513,Bairiki,KI,1.3292,172.9752,82.4,83,75,5.75,broken clouds,2022-07-21 05:12:49
514,Nizhniy Tsasuchey,RU,50.5167,115.1333,82.02,40,0,5.21,clear sky,2022-07-21 05:12:49
515,Sungaipenuh,ID,-2.0833,101.3833,80.87,52,94,3.36,overcast clouds,2022-07-21 05:12:49
516,Leshukonskoye,RU,64.8989,45.7622,71.76,53,38,5.32,scattered clouds,2022-07-21 05:12:50
517,Vagur,FO,61.4732,-6.8119,48.87,90,71,15.28,broken clouds,2022-07-21 05:12:50
518,Palora,EC,-1.7,-77.9333,62.87,91,100,2.68,overcast clouds,2022-07-21 05:12:51
519,Nosy Varika,MG,-20.5833,48.5333,69.55,75,66,9.75,light rain,2022-07-21 05:12:51
520,Jiuquan,CN,39.7432,98.5174,72.84,26,57,12.41,broken clouds,2022-07-21 05:12:51
521,Shiyan,CN,32.6475,110.7781,97.41,49,17,5.7,few clouds,2022-07-21 05:12:52
522,Springbok,ZA,-29.6643,17.8865,42.26,61,0,6.31,clear sky,2022-07-21 05:12:52
523,Kununurra,AU,-15.7667,128.7333,89.58,15,15,8.05,few clouds,2022-07-21 05:12:53
524,La Rioja,ES,42.25,-2.5,55.18,71,0,2.82,clear sky,2022-07-21 05:12:53
525,Paceco,IT,37.9787,12.5566,81.57,67,0,2.21,clear sky,2022-07-21 05:12:54
526,Mastic Beach,US,40.7668,-72.8521,79.99,88,1,11.01,clear sky,2022-07-21 05:12:54
527,La Asuncion,VE,11.0333,-63.8628,78.19,89,15,9.95,few clouds,2022-07-21 05:12:54
528,Dhoraji,IN,21.7333,70.45,84.36,74,87,17.18,overcast clouds,2022-07-21 05:12:55
529,Nadvoitsy,RU,63.8667,34.3167,65.82,67,1,7.14,clear sky,2022-07-21 05:12:55
530,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,65.75,76,33,2.15,scattered clouds,2022-07-21 05:12:55
531,Barcelos,PT,41.5388,-8.6151,70.92,76,0,1.54,clear sky,2022-07-21 05:12:56
532,Isangel,VU,-19.55,169.2667,78.69,73,96,10.09,overcast clouds,2022-07-21 05:12:56
533,Yeniseysk,RU,58.4497,92.1703,67.96,63,74,4.54,light rain,2022-07-21 05:12:57
534,Soyo,AO,-6.1349,12.3689,68.13,95,11,6.29,few clouds,2022-07-21 05:12:57
535,Ostrogozhsk,RU,50.8664,39.0756,56.34,89,92,13.87,overcast clouds,2022-07-21 05:12:57
536,Koceljeva,RS,44.4736,19.8117,69.37,34,1,3.71,clear sky,2022-07-21 05:12:58
537,Tomatlan,MX,19.9333,-105.25,78.96,85,49,3.78,scattered clouds,2022-07-21 05:12:58
538,Asilah,MA,35.465,-6.0348,76.96,78,0,5.79,clear sky,2022-07-21 05:12:59
539,Emporia,US,38.4039,-96.1817,77.2,57,0,4.61,clear sky,2022-07-21 05:12:59
540,Port Keats,AU,-14.25,129.55,87.08,31,72,6.22,broken clouds,2022-07-21 05:12:59
541,Pasighat,IN,28.0667,95.3333,82.47,88,100,2.66,light rain,2022-07-21 05:13:00
542,Uige,AO,-7.6087,15.0613,58.26,93,5,1.48,clear sky,2022-07-21 05:13:00
543,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.12,89,100,10.4,overcast clouds,2022-07-21 05:13:01
544,Nemuro,JP,43.3236,145.575,60.37,86,57,10.22,broken clouds,2022-07-21 05:13:01
545,Koutiala,ML,12.3917,-5.4642,73.22,90,65,9.48,broken clouds,2022-07-21 05:13:01
546,Westport,US,41.1415,-73.3579,81.28,87,0,4.61,clear sky,2022-07-21 05:08:29
547,Burnie,AU,-41.0667,145.9167,55.92,66,89,12.01,overcast clouds,2022-07-21 05:13:02
548,Rapid Valley,US,44.0625,-103.1463,76.44,41,0,5.75,clear sky,2022-07-21 05:13:02
549,Voznesenye,RU,61.0106,35.4781,64.99,82,8,8.84,clear sky,2022-07-21 05:13:03
550,Linhares,BR,-19.3911,-40.0722,66.72,96,58,3.65,broken clouds,2022-07-21 05:12:04
551,Nsukka,NG,6.8561,7.3927,66.69,96,100,4.63,overcast clouds,2022-07-21 05:13:03
552,Queimadas,BR,-10.9783,-39.6264,62.26,94,46,5.97,scattered clouds,2022-07-21 05:14:04
553,Baiyin,CN,36.5583,104.2081,63.52,56,100,24.29,light rain,2022-07-21 05:14:04
554,Finschhafen,PG,-6.6024,147.8681,83.8,69,53,5.84,broken clouds,2022-07-21 05:14:04
555,Xapuri,BR,-10.6517,-68.5044,69.78,57,0,0.6,clear sky,2022-07-21 05:14:05
556,Kaeo,NZ,-35.1,173.7833,55.33,80,4,12.48,clear sky,2022-07-21 05:14:05
557,Hwange,ZW,-18.3693,26.5019,58.53,63,50,1.77,scattered clouds,2022-07-21 05:14:05
558,Nieuw Amsterdam,SR,5.8833,-55.0833,78.03,91,21,5.46,few clouds,2022-07-21 05:14:06
559,Baraboo,US,43.4711,-89.7443,71.49,76,0,4.61,clear sky,2022-07-21 05:14:06
560,Tucupita,VE,9.0622,-62.051,72.66,99,100,2.68,overcast clouds,2022-07-21 05:14:06
561,San Pedro De Macoris,DO,18.4616,-69.2972,77.4,89,3,11.1,clear sky,2022-07-21 05:14:07
562,Mahajanga,MG,-15.7167,46.3167,71.19,61,7,15.37,clear sky,2022-07-21 05:13:25
563,Broome,US,42.2506,-75.833,78.85,68,0,8.99,clear sky,2022-07-21 05:14:07
564,Beloha,MG,-25.1667,45.05,64.87,53,0,4.59,clear sky,2022-07-21 05:14:08
